timestamp,session,session_name,gear,brake_percent,throttle_percent,driver_name,vehicle_name,place
2025-08-11T20:03:48.846Z,5,Qualifying_1,0,100.0,0.0,Hugo PDVN,Manthey 2025 #90:LM,8
2025-08-11T20:03:48.952Z,5,Qualifying_1,0,100.0,0.0,Hugo PDVN,Manthey 2025 #90:LM,8
2025-08-11T20:03:49.057Z,5,Qualifying_1,0,100.0,0.0,Hugo PDVN,Manthey 2025 #90:LM,8
2025-08-11T20:03:49.165Z,5,Qualifying_1,0,100.0,0.0,Hugo PDVN,Manthey 2025 #90:LM,8
2025-08-11T20:03:49.272Z,5,Qualifying_1,0,100.0,0.0,Hugo PDVN,Manthey 2025 #90:LM,8
2025-08-11T20:03:49.380Z,5,Qualifying_1,0,100.0,0.0,Hugo PDVN,Manthey 2025 #90:LM,8
2025-08-11T20:03:49.487Z,5,Qualifying_1,0,100.0,0.0,Hugo PDVN,Manthey 2025 #90:LM,8
2025-08-11T20:03:49.592Z,5,Qualifying_1,0,100.0,0.0,Hugo PDVN,Manthey 2025 #90:LM,8
2025-08-11T20:03:49.700Z,5,Qualifying_1,0,100.0,0.0,Hugo PDVN,Manthey 2025 #90:LM,8
2025-08-11T20:03:49.807Z,5,Qualifying_1,0,100.0,0.0,Hugo PDVN,Manthey 2025 #90:LM,8
2025-08-11T20:03:49.915Z,5,Qualifying_1,0,100.0,0.0,Hugo PDVN,Manthey 2025 #90:LM,8
2025-08-11T20:03:50.024Z,5,Qualifying_1,0,100.0,0.0,Hugo PDVN,Manthey 2025 #90:LM,8
2025-08-11T20:03:50.131Z,5,Qualifying_1,0,100.0,0.0,Hugo PDVN,Manthey 2025 #90:LM,8
2025-08-11T20:03:50.238Z,5,Qualifying_1,0,100.0,0.0,Hugo PDVN,Manthey 2025 #90:LM,9
2025-08-11T20:03:50.346Z,5,Qualifying_1,0,100.0,0.0,Hugo PDVN,Manthey 2025 #90:LM,9
2025-08-11T20:03:50.451Z,5,Qualifying_1,0,100.0,0.0,Hugo PDVN,Manthey 2025 #90:LM,9
2025-08-11T20:03:50.559Z,5,Qualifying_1,0,100.0,0.0,Hugo PDVN,Manthey 2025 #90:LM,9
2025-08-11T20:03:50.666Z,5,Qualifying_1,0,100.0,0.0,Hugo PDVN,Manthey 2025 #90:LM,9
2025-08-11T20:03:50.772Z,5,Qualifying_1,0,100.0,0.0,Hugo PDVN,Manthey 2025 #90:LM,9
2025-08-11T20:03:50.880Z,5,Qualifying_1,0,100.0,0.0,Hugo PDVN,Manthey 2025 #90:LM,9
2025-08-11T20:03:50.987Z,5,Qualifying_1,0,100.0,0.0,Hugo PDVN,Manthey 2025 #90:LM,9
2025-08-11T20:03:51.094Z,5,Qualifying_1,0,100.0,0.0,Hugo PDVN,Manthey 2025 #90:LM,9
2025-08-11T20:03:51.212Z,5,Qualifying_1,0,100.0,0.0,Hugo PDVN,Manthey 2025 #90:LM,9
2025-08-11T20:03:51.325Z,5,Qualifying_1,0,100.0,0.0,Hugo PDVN,Manthey 2025 #90:LM,9
2025-08-11T20:03:51.431Z,5,Qualifying_1,0,100.0,0.0,Hugo PDVN,Manthey 2025 #90:LM,9
2025-08-11T20:03:51.537Z,5,Qualifying_1,0,100.0,0.0,Hugo PDVN,Manthey 2025 #90:LM,9
2025-08-11T20:03:51.645Z,5,Qualifying_1,0,100.0,0.0,Hugo PDVN,Manthey 2025 #90:LM,9
2025-08-11T20:03:51.754Z,5,Qualifying_1,0,100.0,0.0,Hugo PDVN,Manthey 2025 #90:LM,9
2025-08-11T20:03:51.862Z,5,Qualifying_1,0,100.0,0.0,Hugo PDVN,Manthey 2025 #90:LM,9
2025-08-11T20:03:51.970Z,5,Qualifying_1,0,100.0,0.0,Hugo PDVN,Manthey 2025 #90:LM,9
2025-08-11T20:03:52.075Z,5,Qualifying_1,0,100.0,0.0,Hugo PDVN,Manthey 2025 #90:LM,9
2025-08-11T20:03:52.184Z,5,Qualifying_1,0,100.0,0.0,Hugo PDVN,Manthey 2025 #90:LM,9
2025-08-11T20:03:52.292Z,5,Qualifying_1,0,100.0,0.0,Hugo PDVN,Manthey 2025 #90:LM,9
